地区,2000年,2006年,2011年,2015年,2017年
北京,0,0,345,340,342
天津,0,0,338,329,316
河北,0,0,2375,2378,2534
山西,0,0,1835,1895,2093
内蒙古,0,0,683,716,808
辽宁,0,0,1522,1517,1637
吉林,0,0,1172,1181,1230
黑龙江,0,0,1429,1564,1685
上海,0,0,560,537,507
江苏,0,0,2148,2091,2100
浙江,0,0,1735,1712,1745
安徽,0,0,2810,2858,2962
福建,0,0,1240,1240,1271
江西,0,0,2140,2131,2117
山东,0,0,2968,2891,3004
河南,0,0,4515,4565,4596
湖北,0,0,2041,2013,2122
湖南,0,0,3304,3331,3310
广东,0,0,3536,3415,3316
广西,0,0,1757,1839,1939
海南,0,0,397,391,406
重庆,0,0,863,906,996
四川,0,0,3722,3864,3964
贵州,0,0,2048,2128,2194
云南,0,0,1668,1682,1711
西藏,0,0,98,97,93
陕西,0,0,1621,1727,1819
甘肃,0,0,1468,1491,1577
青海,0,0,270,270,304
宁夏,0,0,247,237,262
新疆,0,0,1039,1069,1157
