地区,2000年,2006年,2011年,2015年,2017年
北京,984,996,1090,1310,2169
天津,857,849,874,1023,2323
河北,11697,12126,13274,19162,36465
山西,5646,6403,10936,21647,37451
内蒙古,1658,1853,2613,4884,10147
辽宁,3634,4234,5118,8434,13356
吉林,4153,4493,5600,7010,9435
黑龙江,1537,2802,5620,9288,13995
上海,741,764,764,626,1034
江苏,4075,4068,4325,5940,19110
浙江,3286,3303,3818,5471,11841
安徽,8108,9119,13343,18204,24281
福建,5190,5141,5947,9867,13935
江西,7760,9465,11633,14244,21082
山东,9738,10404,12047,14611,26017
河南,20372,24673,27793,31410,41269
湖北,5378,5398,7415,11422,23372
湖南,7757,8412,10824,15859,34521
广东,10258,10126,15148,20512,24202
广西,8454,11849,13789,15152,16109
海南,1388,1556,2210,3050,4167
重庆,2954,4170,5248,8754,14730
四川,5721,6487,8847,17372,43326
贵州,7113,8520,12008,14076,17985
云南,11186,12413,13320,18127,22151
西藏,806,826,860,880,842
陕西,4752,5851,8867,18590,33336
甘肃,6172,8052,10907,14685,21557
青海,758,978,1533,2841,3429
宁夏,1353,1693,1942,2373,3267
新疆,3523,3501,3536,4815,6718
