地区,2000年,2006年,2011年,2015年,2017年
北京,2503068,3374329,7373843,11171250,12512746
天津,685500,1428992,4136097,5605736,5850624
河北,1559084,3554401,8447882,12861641,15938479
山西,794624,2198470,5494903,8442363,8533662
内蒙古,580862,1480999,5040005,7072130,7601337
辽宁,1463315,3282283,7809413,8781171,9651893
吉林,902942,1724213,4293877,5975239,6586685
黑龙江,1175133,2230540,4838173,7040039,7545432
上海,2008865,3707275,7106255,10131153,12104556
江苏,2905677,6845888,15882132,22463773,25960645
浙江,2200450,6315051,12069078,17568215,21327866
安徽,1129954,2775700,8172010,11578495,13751567
福建,1225754,2771266,6344839,10028329,11390975
江西,752777,2213618,6307866,9732898,11717849
山东,2462776,5471049,13727939,20632259,23946021
河南,1709181,4179475,11821418,17411099,21546749
湖北,1706416,2904962,6844038,11435059,13821834
湖南,1523037,3338525,7987607,12223238,15165690
广东,3609721,8654359,18846365,30474906,38610331
广西,934718,2134365,5938482,10111559,11891781
海南,223093,558645,1732237,2809962,3390271
重庆,698721,1681572,5039550,7971003,9483526
四川,1619988,3654194,10244130,16409562,19274514
贵州,528487,1549737,4510531,9277347,12488005
云南,976175,2311083,6582935,10455388,13292088
西藏,81550,276921,826102,1919434,2387658
陕西,1014584,2288723,6838342,9674438,10545862
甘肃,535287,1321480,3608174,6134547,7087547
青海,128178,373988,1552462,2073501,2343469
宁夏,148649,398718,1313862,1963258,2288400
新疆,702243,1532703,4605867,7132774,8462090
