地区,2000年,2006年,2011年,2015年,2017年
北京,24,24,21,22,21
天津,24,21,20,20,20
河北,95,124,148,159,161
山西,39,42,51,64,73
内蒙古,29,28,34,45,44
辽宁,74,74,74,73,75
吉林,52,48,46,47,50
黑龙江,77,71,73,73,73
上海,34,28,29,29,30
江苏,123,107,108,106,106
浙江,62,63,78,86,86
安徽,70,63,63,68,72
福建,76,67,71,73,71
江西,33,60,75,88,89
山东,141,140,146,147,147
河南,121,121,127,144,148
湖北,74,77,76,83,84
湖南,57,52,58,78,79
广东,61,69,80,116,133
广西,49,54,60,78,79
海南,3,4,3,7,7
重庆,42,44,36,36,36
四川,63,89,107,124,127
贵州,28,39,52,75,76
云南,24,26,30,60,64
西藏,1,1,2,5,5
陕西,35,31,44,55,58
甘肃,12,14,22,37,41
青海,7,9,11,15,16
宁夏,3,6,7,12,13
新疆,6,9,15,28,28
