地区,2000年,2006年,2011年,2015年,2017年
北京,304,306,290,335,302
天津,187,180,209,231,215
河北,630,578,598,801,716
山西,505,505,519,589,443
内蒙古,293,284,279,359,377
辽宁,418,412,422,470,461
吉林,244,239,248,296,288
黑龙江,371,377,411,475,463
上海,258,253,247,317,333
江苏,564,569,618,838,859
浙江,580,563,569,611,620
安徽,662,666,734,786,674
福建,534,540,559,636,477
江西,475,460,438,587,506
山东,592,555,565,787,714
河南,813,770,792,955,761
湖北,532,532,585,689,583
湖南,608,575,594,800,712
广东,1030,1019,1012,1005,947
广西,460,445,446,537,464
海南,116,106,102,111,93
重庆,255,261,263,286,281
四川,754,726,740,809,783
贵州,451,430,447,482,305
云南,509,465,444,452,418
西藏,34,30,30,45,15
陕西,473,488,544,641,579
甘肃,384,386,436,495,419
青海,101,101,112,142,165
宁夏,63,62,67,100,107
新疆,355,357,368,486,484
,,,,,
